Order_ID,Product_ID,Product_Name,Category,Price,Quantity,Order_Date,Shipping_Cost,Region,Total_Sale
A1000,P718,Once,Clothing,34.63,5,2023-06-24,3.32,Texas,176.47
A1001,P624,Ahead,Electronics,191.72,1,2025-03-06,4.65,Florida,196.37
A1002,P983,Official,Beauty,8.8,5,2023-12-07,2.35,California,46.35
A1003,P602,His,Electronics,351.79,2,2023-12-13,11.59,California,715.17
A1004,P615,Increase,Beauty,51.4,3,2024-04-23,13.04,Illinois,167.24
A1005,P760,Least,Electronics,32.86,5,2024-09-27,9.46,Washington,173.76
A1006,P1158,Late,Toys,328.64,3,2023-06-26,4.94,Washington,990.86
A1007,P915,Institution,Toys,217.34,3,2024-07-28,3.13,Illinois,655.15
A1008,P786,Enough,Toys,51.24,1,2024-05-01,7.59,Florida,58.83
A1009,P1083,Relate,Home & Kitchen,396.08,4,2025-02-23,9.15,Ohio,1593.47
A1010,P841,Hospital,Beauty,212.78,3,2024-02-05,9.15,Illinois,647.49
A1011,P1349,Of,Electronics,310.8,3,2025-04-17,2.02,California,934.42
A1012,P853,Cup,Sports,220.33,3,2023-09-26,13.72,Washington,674.71
A1013,P1081,Expect,Clothing,205.37,4,2023-05-27,4.04,Florida,825.52
A1014,P860,Arrive,Home & Kitchen,358.67,2,2023-08-29,10.36,Ohio,727.7
A1015,P571,Require,Toys,17.9,5,2024-01-16,4.71,Ohio,94.21
A1016,P1378,Impact,Electronics,191.6,5,2024-03-04,7.11,Washington,965.11
A1017,P565,Finish,Toys,382.66,2,2024-10-03,14.56,Illinois,779.88
A1018,P1012,Film,Sports,421.74,1,2023-08-26,2.42,New York,424.16
A1019,P1089,Surface,Books,7.32,3,2024-03-24,2.8,Washington,24.76
A1020,P1049,Same,Sports,198.74,2,2025-03-19,0.82,Ohio,398.3
A1021,P741,Wide,Sports,344.43,3,2024-09-21,12.84,Illinois,1046.13
A1022,P1277,Actually,Beauty,306.07,2,2023-06-02,7.74,Illinois,619.88
A1023,P701,Talk,Clothing,198.98,4,2023-06-26,1.5,New York,797.42
A1024,P526,Movement,Sports,201.68,5,2023-06-04,2.38,Washington,1010.78
A1025,P1036,Next,Toys,293.75,5,2024-07-01,8.55,California,1477.3
A1026,P1129,Structure,Clothing,234.83,2,2024-07-31,10.1,Ohio,479.76
A1027,P1126,Fight,Electronics,415.9,3,2023-12-05,5.87,California,1253.57
A1028,P1457,Citizen,Beauty,487.87,5,2024-06-21,2.81,New York,2442.16
A1029,P1391,Evening,Books,43.07,1,2024-05-27,7.23,Illinois,50.3
A1030,P1083,Summer,Sports,371.96,4,2023-07-26,10.08,New York,1497.92
A1031,P751,Cell,Toys,269.51,5,2024-02-03,8.1,Texas,1355.65
A1032,P580,Later,Electronics,402.77,5,2024-09-01,12.08,California,2025.93
A1033,P1447,Tax,Electronics,366.4,4,2025-04-24,8.26,Illinois,1473.86
A1034,P1077,Without,Toys,289.82,3,2025-03-06,7.6,California,877.06
A1035,P1100,Both,Electronics,260.43,2,2025-03-08,10.05,Ohio,530.91
A1036,P1429,Community,Sports,405.74,2,2023-07-16,12.08,Texas,823.56
A1037,P1477,Heavy,Home & Kitchen,129.06,1,2023-05-30,2.41,Washington,131.47
A1038,P537,Body,Home & Kitchen,463.21,3,2025-03-09,9.73,Illinois,1399.36
A1039,P520,Wait,Electronics,293.24,3,2023-05-26,10.32,Florida,890.04
A1040,P1445,Audience,Books,154.79,3,2023-06-15,3.15,California,467.52
A1041,P1344,Commercial,Sports,30.38,4,2025-03-25,12.38,Washington,133.9
A1042,P624,Throw,Electronics,220.44,5,2024-06-29,4.55,New York,1106.75
A1043,P801,Lawyer,Books,131.22,3,2024-08-13,5.72,Texas,399.38
A1044,P1391,Fast,Sports,363.29,4,2025-02-24,9.13,Florida,1462.29
A1045,P502,Site,Sports,134.49,5,2023-08-27,11.75,California,684.2
A1046,P1387,Someone,Sports,234.01,1,2024-10-13,11.06,Texas,245.07
A1047,P1216,Individual,Beauty,168.38,1,2023-06-23,7.71,Florida,176.09
A1048,P707,Pattern,Home & Kitchen,92.54,1,2024-04-09,8.71,Ohio,101.25
A1049,P1496,Investment,Beauty,419.23,4,2024-05-26,12.68,Texas,1689.6
A1050,P644,Stand,Home & Kitchen,369.56,1,2023-06-02,8.3,Florida,377.86
A1051,P783,Clearly,Sports,11.93,2,2024-03-13,8.78,Texas,32.64
A1052,P1142,Top,Toys,481.07,1,2025-03-08,6.28,Illinois,487.35
A1053,P1135,Before,Home & Kitchen,343.71,4,2025-02-20,2.47,New York,1377.31
A1054,P552,Garden,Home & Kitchen,212.84,2,2025-03-30,12.58,Texas,438.26
A1055,P1440,Camera,Beauty,203.61,4,2024-05-14,0.17,Florida,814.61
A1056,P554,Class,Toys,149.52,3,2024-12-28,14.86,Illinois,463.42
A1057,P566,Nation,Toys,12.29,3,2023-07-10,7.89,Florida,44.76
A1058,P1320,Cause,Beauty,405.65,2,2024-01-15,3.61,California,814.91
A1059,P920,Memory,Toys,28.53,1,2024-10-20,7.87,Florida,36.4
A1060,P506,Call,Electronics,364.12,1,2025-04-10,7.28,Ohio,371.4
A1061,P1195,Main,Toys,429.72,3,2024-06-27,3.62,Texas,1292.78
A1062,P710,Manager,Electronics,66.49,2,2024-07-26,12.74,California,145.72
A1063,P1049,Over,Beauty,425.37,1,2023-07-07,12.65,New York,438.02
A1064,P1109,Building,Toys,367.16,3,2024-11-14,5.93,Florida,1107.41
A1065,P1292,Large,Clothing,170.88,4,2023-12-08,14.56,California,698.08
A1066,P955,Woman,Toys,456.12,1,2024-12-26,6.83,Washington,462.95
A1067,P1337,Discuss,Books,275.99,3,2024-02-19,12.08,California,840.05
A1068,P1227,Listen,Clothing,445.51,3,2023-09-26,9.25,Ohio,1345.78
A1069,P1231,Former,Books,261.14,4,2023-08-18,9.45,Ohio,1054.01
A1070,P700,Report,Beauty,477.36,2,2023-06-27,3.05,California,957.77
A1071,P562,West,Clothing,335.27,4,2024-05-31,6.37,California,1347.45
A1072,P720,Teacher,Beauty,127.62,4,2024-12-10,11.86,Illinois,522.34
A1073,P855,Great,Beauty,433.37,5,2023-05-15,5.93,Illinois,2172.78
A1074,P808,Help,Beauty,247.86,4,2024-06-13,6.18,Washington,997.62
A1075,P930,Part,Electronics,442.54,2,2023-11-15,1.1,Washington,886.18
A1076,P1310,Store,Books,361.74,5,2025-02-20,0.92,Florida,1809.62
A1077,P838,Heavy,Sports,338.16,2,2023-11-15,6.28,California,682.6
A1078,P1230,Purpose,Home & Kitchen,276.69,3,2024-06-08,2.98,California,833.05
A1079,P781,Top,Toys,48.58,4,2023-07-26,0.36,Ohio,194.68
A1080,P1286,At,Books,441.51,5,2024-09-17,11.14,Florida,2218.69
A1081,P611,Trade,Beauty,257.19,3,2024-06-13,11.32,Washington,782.89
A1082,P968,Citizen,Books,31.41,2,2023-09-29,12.04,Florida,74.86
A1083,P750,Brother,Clothing,440.31,1,2025-04-08,2.24,Washington,442.55
A1084,P1494,Enjoy,Electronics,187.33,3,2023-09-16,14.62,Illinois,576.61
A1085,P1023,Want,Beauty,487.43,5,2023-09-24,13.52,Texas,2450.67
